Model,c2a_f1,c2a_prec,c2a_rec,dbo_f1,dbo_prec,dbo_rec,vio_f1,vio_prec,vio_rec,def_f1,def_prec,def_rec
DistilBERT-Multilingual,0.5262136176776715,0.5240336391642261,0.5305090393477491,0.004663947015449194,0.2515541740674956,0.25078988941548186,0.0009537434430138292,0.000478755236385398,0.12121212121212122,0.17439598453688948,0.5066949773682238,0.5585363467371098
XLM-RoBERTa,0.7760509521225745,0.7379426516799613,0.8349854661467564,0.3528511234094417,0.3347296571934253,0.3878134424816889,0.18357209863810173,0.178094021074082,0.20540013503186927,0.5269368835160071,0.5281573057657466,0.5258487427844634
GBERT,0.7694110814791744,0.8165558242644095,0.7360857851825593,0.31369439526579584,0.3292626848205849,0.30510555794915983,0.1745000729820464,0.24619899923017705,0.17177658448971558,0.5111126273653566,0.6164813745307537,0.5078930633010469
